match_id,event,date,map_name,team,opponent,team_comp,opponent_comp,won
644671,VCT 2026: Pacific Stage 1,2026-04-24,Haven,Rex Regum Qeon,FULL SENSE,"Cypher,Jett,Neon,Omen,Sova","Cypher,Deadlock,Omen,Skye,Waylay",True
644671,VCT 2026: Pacific Stage 1,2026-04-24,Haven,FULL SENSE,Rex Regum Qeon,"Cypher,Deadlock,Omen,Skye,Waylay","Cypher,Jett,Neon,Omen,Sova",False
644671,VCT 2026: Pacific Stage 1,2026-04-24,Fracture,Rex Regum Qeon,FULL SENSE,"Brimstone,Neon,Raze,Skye,Veto","Brimstone,Cypher,Neon,Skye,Waylay",True
644671,VCT 2026: Pacific Stage 1,2026-04-24,Fracture,FULL SENSE,Rex Regum Qeon,"Brimstone,Cypher,Neon,Skye,Waylay","Brimstone,Neon,Raze,Skye,Veto",False
644672,VCT 2026: Pacific Stage 1,2026-04-24,Split,Paper Rex,Global Esports,"Jett,Omen,Raze,Skye,Viper","Fade,Neon,Omen,Viper,Vyse",True
644672,VCT 2026: Pacific Stage 1,2026-04-24,Split,Global Esports,Paper Rex,"Fade,Neon,Omen,Viper,Vyse","Jett,Omen,Raze,Skye,Viper",False
644672,VCT 2026: Pacific Stage 1,2026-04-24,Pearl,Paper Rex,Global Esports,"Astra,Fade,Jett,Phoenix,Vyse","Astra,Chamber,Fade,Neon,Tejo",True
644672,VCT 2026: Pacific Stage 1,2026-04-24,Pearl,Global Esports,Paper Rex,"Astra,Chamber,Fade,Neon,Tejo","Astra,Fade,Jett,Phoenix,Vyse",False
644673,VCT 2026: Pacific Stage 1,2026-04-25,Haven,Gen.G,KIWOOM DRX,"Chamber,Fade,Neon,Omen,Phoenix","Chamber,Neon,Omen,Phoenix,Skye",True
644673,VCT 2026: Pacific Stage 1,2026-04-25,Haven,KIWOOM DRX,Gen.G,"Chamber,Neon,Omen,Phoenix,Skye","Chamber,Fade,Neon,Omen,Phoenix",False
644673,VCT 2026: Pacific Stage 1,2026-04-25,Pearl,Gen.G,KIWOOM DRX,"Astra,Chamber,Fade,Neon,Phoenix","Astra,Chamber,Jett,Neon,Skye",False
644673,VCT 2026: Pacific Stage 1,2026-04-25,Pearl,KIWOOM DRX,Gen.G,"Astra,Chamber,Jett,Neon,Skye","Astra,Chamber,Fade,Neon,Phoenix",True
644673,VCT 2026: Pacific Stage 1,2026-04-25,Lotus,Gen.G,KIWOOM DRX,"Fade,Neon,Omen,Raze,Vyse","Chamber,Fade,Neon,Omen,Raze",False
644673,VCT 2026: Pacific Stage 1,2026-04-25,Lotus,KIWOOM DRX,Gen.G,"Chamber,Fade,Neon,Omen,Raze","Fade,Neon,Omen,Raze,Vyse",True
644674,VCT 2026: Pacific Stage 1,2026-04-25,Lotus,DetonatioN FocusMe,VARREL,"Fade,Neon,Omen,Raze,Vyse","Fade,Neon,Omen,Raze,Viper",True
644674,VCT 2026: Pacific Stage 1,2026-04-25,Lotus,VARREL,DetonatioN FocusMe,"Fade,Neon,Omen,Raze,Viper","Fade,Neon,Omen,Raze,Vyse",False
644674,VCT 2026: Pacific Stage 1,2026-04-25,Haven,DetonatioN FocusMe,VARREL,"Cypher,Jett,Neon,Omen,Skye","Cypher,Deadlock,Omen,Skye,Waylay",False
644674,VCT 2026: Pacific Stage 1,2026-04-25,Haven,VARREL,DetonatioN FocusMe,"Cypher,Deadlock,Omen,Skye,Waylay","Cypher,Jett,Neon,Omen,Skye",True
